id,title
3wMzNHbfwKE,HAKSHELGI PAOJEL | Towards Better Child Health In The New Year
wYGTcCD3ixY,HAKSHELGI PAOJEL | TOPIC : SINUSITIS
gVzDjoyQo6s,Snippet from PPC - विपक्ष के लगाए आरोप को Tonic और Opportunity के रूप में लेने के सवाल पर जानिए
bCtBC5_ZgqU,"Legal Hints | Protection of Children From Sexual Offences Act, 2012 (POCSO Act)"
uSvBMcsddJo,Sports Programme | An Interview with Hockey Olympian (Bronze Medalist) Shanglakpam Nilakanta Sharma
Y0QBFh9hw5E,Snippet from PPC - Average लोगों में असाधारण उपलब्धि हासिल करने की ताकत होती है!
151E19ucRng,HAKSHELGI PAOJEL | TOPIC : HIV/AIDS
jtNcltQq4kY,Snippet from PPC - Tamil दुनिया की सबसे पुरानी और पुरातन भाषा है और इस पर हमें गर्व है
W7rV2aEjAwE,"Legal Hints | A Discussion on Protection of Woman From Domestic Violence Act, 2005"
i0bpJ0FNDHg,Sports Programme | An Interview With Karishma Chingangbam
_08fm2yJaxY,TRIBAL VARIETY PROGRAMME | WONDERS FROM THE HILLS
8shjXfEeAzU,Interview with the Medalists of National Men&Women Equipped and Classic Benchpress Championship 2023
eiA05DUMyBw,Sitar Recital |  Laimayum Chaoba Sharma & Party
OKOACreDefw,An Interview With Ngangom Bala Devi |  AIFF Women's Footballer of the Year 2020-21
ek6jMY8kabU,Science Programme | A Discussion on Crime Scene Protection
4pN7zP-t_Vg,Sports Programme |  A Panel Discussion on Role of AMBBA in Promoting Body Builders in Manipur
q4dzERUJ964,KHUTHEIBA LAKTAGI | Loya Khumancha (Khaplangpa Yoksa Shinnaiba)
EpqtYPBhWlI,AGRICULTURE PROGRAMME
T8mNB0R5zfg,"An Interview with Supriya Laimayum (Winner of Kpop Cover singing Contest, 2019)"
MtsOAZMP0Gw,Snippet from PPC - हमें बच्चों को बंधनों में बांधने के बजाय खुला आसमान देना चाहिए | Manipuri Version
6Ecl4BO5GBM,ParikshaPeCharcha में PM Modi के इस मंत्र को देशभर के Teachers को सुनना चाहिए! | Manipuri Version
zYcP5bnd8jY,Agriculture Programme | Infestation of Plant Hoppers (Wahik) in Paddy Cultivation & its Prevention
xgwmxLzGt4g,Legal Hints | A Discussion On Drug Response : Criminalization to Public Health Approach
ekRSW20rIKs,"Minority Programme| Interview with Dr. Raheijuddun Sheikh(Shamu), Principal, Lilong Haoreibi College"
dTF0ynzFEQk,TRIBAL DEVOTIONAL SONG
OIkSH-nmwzA,Snippet from PPC - Social Media Platforms और Gadget के कारण पढ़ाई में Distraction को कैसे रोकें!
fLf643by1C0,CHILDREN VARIETY PROGRAMME
0wW0HDcaQCg,NGASI MAHEIROI KAYA IRANG HOURAKKHRE; POLICE KA MUKNABADA MAHEIROI KAYA ASHOK APAN NANGKHRE
OyPgCPdGewE,AN INTERVIEW WITH PUKHRAMBAM PREMKUMAR
vuWLBtaQDNk,2 PM ENGLISH NEWS  22 January 2019
